Date,Open,High,Low,Close,Volume,Symbol,Moving_Average,Daily_Pct_Change,Daily_Vol_Change,Rolling_Mean,Rolling_Std
2018-10-08,1.00409996509552,1.007680058479309,1.0018999576568604,1.002210021018982,382900,USDC,,,,,
2018-10-09,1.0042699575424194,1.00832998752594,1.0000300407409668,1.0068600177764893,108803,USDC,,0.4639742828334015,-0.7158448681117786,,
2018-10-10,1.0049400329589844,1.0190800428390503,1.0039700269699097,1.009619951248169,711783,USDC,,0.2741129276117915,5.541942777313126,,
2018-10-11,1.0099400281906128,1.0312299728393557,1.001729965209961,1.0097800493240356,4177290,USDC,,0.015857261504081954,4.868768992796962,,
2018-10-12,1.0086100101470947,1.018710017204285,1.001139998435974,1.012719988822937,1322240,USDC,,0.2911465225391874,-0.6834694263505765,,
2018-10-13,1.014449954032898,1.0202900171279907,1.0035500526428225,1.0074299573898315,698507,USDC,,-0.5223587459011192,-0.471724497821878,,
2018-10-14,1.007259964942932,1.022510051727295,1.0049200057983398,1.0163099765777588,982750,USDC,,0.8814527623274726,0.40692935074380077,,
2018-10-15,1.0168999433517456,1.1137299537658691,0.9983720183372498,1.0268000364303589,10660400,USDC,,1.032171295604467,9.84751971508522,,
2018-10-16,1.0272300243377686,1.0355099439620972,1.0189900398254397,1.0214300155639648,2124080,USDC,,-0.5229860416700816,-0.8007504408840194,,
2018-10-17,1.0240399837493896,1.0265300273895264,1.0105799436569214,1.0121899843215942,1102740,USDC,,-0.9046171643261269,-0.48083876313509843,,
2018-10-18,1.0146600008010864,1.0206199884414673,1.0092300176620483,1.01488995552063,1182450,USDC,,0.26674549648360024,0.0722835845258174,,
2018-10-19,1.0147500038146973,1.0164300203323364,1.006309986114502,1.0069799423217771,715078,USDC,,-0.779396145939315,-0.3952573047486152,,
2018-10-20,1.0074900388717651,1.0136300325393677,1.0025500059127808,1.0064300298690796,299871,USDC,,-0.0546100701300567,-0.5806457477366105,,
2018-10-21,1.0068199634552002,1.019610047340393,1.0032000541687012,1.0128999948501587,509276,USDC,,0.64286287064792,0.6983169429521361,,
